TF	Target	Score
G188	G1497	5.25513
G78	G1213	5.2528
G100	G1426	5.25071
G84	G225	5.24847
G8	G205	5.2434
G88	G1608	5.24046
G171	G1425	5.23341
G171	G637	5.23277
G121	G391	5.22799
G151	G761	5.21379
G68	G909	5.21372
G189	G930	5.21331
G120	G1311	5.21245
G4	G696	5.20066
G43	G1202	5.19879
G156	G590	5.19617
G13	G301	5.19489
G188	G726	5.19044
G150	G1201	5.18876
G121	G131	5.18797
G165	G1000	5.18484
G84	G427	5.18225
G129	G1215	5.18196
G120	G1176	5.17288
G120	G529	5.16723
G78	G1094	5.16709
G136	G242	5.16416
G8	G777	5.15842
G154	G772	5.15162
G194	G1601	5.14871
G187	G1352	5.14645
G97	G1311	5.14471
G120	G930	5.13782
G95	G1020	5.13673
G71	G1302	5.12653
G95	G1124	5.12458
G171	G451	5.1108
G119	G1142	5.10945
G156	G312	5.10944
G39	G1139	5.10649
G52	G998	5.10601
G136	G1373	5.1031
G115	G374	5.09667
G38	G1210	5.08627
G138	G215	5.08495
G119	G911	5.07477
G121	G1232	5.07353
G84	G1402	5.06856
G96	G110	5.06704
G110	G753	5.06183
G140	G676	5.05826
G136	G611	5.05337
G171	G233	5.04291
G108	G1074	5.03983
G10	G454	5.03424
G65	G901	5.03246
G193	G413	5.02462
G100	G673	5.02199
G84	G939	5.02024
G136	G1489	5.01978
G178	G505	5.01564
G84	G985	5.01244
G120	G210	5.01236
G120	G1554	5.00888
G141	G814	5.00801
G188	G765	5.0025
G136	G404	5.00035
G188	G1572	4.99515
G25	G37	4.99448
G84	G545	4.99081
G121	G10	4.98216
G84	G1232	4.97959
G48	G1391	4.97767
G10	G1048	4.97633
G141	G1404	4.97519
G178	G229	4.97375
G68	G885	4.97351
G145	G175	4.97287
G58	G714	4.97083
G121	G955	4.97081
G193	G1093	4.96436
G16	G1281	4.95962
G84	G220	4.95768
G84	G1246	4.95578
G10	G1639	4.95168
G52	G1265	4.94863
G187	G263	4.94847
G92	G508	4.93496
G194	G1465	4.93311
G38	G763	4.93186
G59	G370	4.92552
G116	G702	4.92485
G120	G1045	4.9236
G143	G227	4.92268
G182	G787	4.92005
G182	G574	4.91502
G120	G740	4.91063
G188	G1382	4.90957
G176	G657	4.90901
G172	G772	4.88969
G110	G1074	4.88802
G75	G1539	4.88497
G78	G92	4.87691
G95	G1052	4.87603
G36	G443	4.87584
G176	G372	4.8705
G108	G781	4.86699
G78	G1526	4.86436
G52	G264	4.86227
G189	G1592	4.86169
G4	G1136	4.86106
G4	G158	4.85991
G171	G1037	4.84867
G87	G539	4.84859
G178	G141	4.8442
G182	G1355	4.84203
G126	G1397	4.84097
G12	G1243	4.83962
G108	G411	4.8384
G84	G953	4.83673
G182	G1228	4.8341
G4	G259	4.82889
G34	G1624	4.82761
G121	G222	4.82692
G128	G671	4.82262
G10	G498	4.81762
G71	G756	4.81667
G160	G1491	4.81401
G35	G564	4.81386
G188	G134	4.81241
G144	G1189	4.80649
G83	G553	4.80574
G68	G1269	4.80333
G38	G1228	4.80231
G121	G1114	4.7935
G188	G1300	4.79285
G120	G667	4.79262
G66	G1092	4.79221
G78	G689	4.7915
G136	G1542	4.79072
G180	G974	4.78844
G134	G1300	4.788
G90	G227	4.78638
G156	G985	4.77835
G115	G1340	4.77178
G81	G149	4.77159
G84	G34	4.76981
G174	G1257	4.76976
G131	G1215	4.7668
G134	G129	4.76327
G73	G458	4.758
G12	G1205	4.75504
G84	G1616	4.753
G97	G930	4.75164
G121	G336	4.75158
G189	G80	4.74474
G176	G1284	4.7443
G188	G129	4.744
G88	G958	4.74165
G144	G551	4.73677
G161	G192	4.7308
G84	G176	4.72281
G12	G619	4.71477
G44	G1482	4.70005
G109	G549	4.69806
G139	G220	4.69672
G72	G1050	4.69494
G10	G890	4.69352
G136	G1442	4.69329
G133	G986	4.69095
G52	G364	4.68889
G106	G569	4.68698
G137	G1101	4.68363
G131	G34	4.68166
G88	G396	4.68159
G84	G1209	4.67847
G49	G675	4.67311
G99	G1041	4.6721
G60	G1309	4.6693
G134	G1442	4.66675
G95	G1026	4.65631
G52	G975	4.65329
G75	G957	4.65318
G44	G1015	4.64675
G13	G1356	4.64516
G57	G1321	4.64235
G90	G1351	4.6417
G194	G141	4.64126
G108	G654	4.63426
G187	G686	4.62735
G8	G582	4.62541
G144	G595	4.61853
G110	G1513	4.61845
G182	G622	4.61587
G69	G1220	4.6153
G120	G980	4.61398
G126	G923	4.61333
G182	G1475	4.61117
G72	G1352	4.6097
G134	G1562	4.60823
G38	G993	4.60806
G120	G1611	4.60723
G10	G1543	4.60696
G108	G1329	4.6009
G89	G67	4.59951
G134	G1500	4.59793
G171	G826	4.5949
G38	G634	4.59436
G173	G102	4.59359
G171	G635	4.59316
G120	G542	4.58769
G139	G156	4.58647
G121	G1209	4.58584
G88	G48	4.58398
G120	G478	4.57612
G71	G936	4.57541
G18	G104	4.57195
G178	G977	4.5682
G136	G129	4.56721
G10	G236	4.56618
G44	G384	4.56531
G68	G471	4.56489
G12	G497	4.55797
G110	G379	4.55333
G182	G1053	4.54922
G84	G1462	4.54719
G67	G89	4.54448
G51	G288	4.54293
G33	G17	4.53643
G100	G604	4.53238
G182	G324	4.53035
G91	G1476	4.52996
G120	G987	4.52905
G157	G1331	4.52659
G194	G1226	4.52048
G78	G717	4.51621
G187	G216	4.51556
G48	G1103	4.51111
G126	G734	4.50819
G80	G813	4.50655
G178	G108	4.50479
G122	G1266	4.5045
G141	G1405	4.50395
G12	G262	4.50271
G65	G78	4.50073
G112	G1293	4.5003
G80	G1443	4.49904
G156	G784	4.49476
G122	G1582	4.4915
G194	G1325	4.49104
G108	G1589	4.48963
G68	G83	4.47945
G141	G1276	4.47864
G194	G310	4.47838
G13	G1374	4.47798
G84	G782	4.47756
G153	G139	4.47656
G134	G66	4.47548
G194	G255	4.47202
G91	G618	4.46573
G10	G973	4.46247
G141	G632	4.45928
G184	G1080	4.45591
G176	G228	4.45379
G4	G383	4.44914
G171	G1468	4.44769
G84	G685	4.44536
G84	G599	4.44515
G48	G878	4.44462
G156	G220	4.43971
G136	G431	4.43856
G8	G23	4.43763
G16	G456	4.43282
G110	G959	4.42758
G68	G1454	4.42549
G165	G908	4.42429
G129	G1267	4.42094
G134	G1324	4.42043
G141	G822	4.41774
G107	G281	4.41006
G121	G84	4.40719
G120	G1177	4.40538
G171	G920	4.40085
G178	G1021	4.40038
G16	G477	4.39951
G53	G560	4.39772
G110	G1021	4.39411
G39	G655	4.39086
G132	G62	4.39022
G120	G468	4.38867
G78	G258	4.38326
G80	G257	4.38093
G176	G760	4.37832
G13	G870	4.37747
G10	G1561	4.3766
G129	G973	4.37622
G136	G321	4.36927
G108	G178	4.36552
G115	G769	4.36147
G153	G252	4.3614
G171	G562	4.35889
G13	G386	4.3581
G84	G784	4.35387
G35	G749	4.3506
G57	G1424	4.34525
G100	G1271	4.33524
G195	G1188	4.33265
G154	G172	4.32337
G195	G1306	4.32141
G121	G1304	4.31765
G17	G33	4.31509
G157	G43	4.31442
G187	G707	4.31166
G88	G80	4.30894
G176	G550	4.30882
G2	G1642	4.3035
G72	G1564	4.30334
G159	G693	4.29847
G184	G1343	4.29548
G141	G325	4.29438
G121	G760	4.29167
G149	G1338	4.29088
G141	G1211	4.29083
G90	G1091	4.29044
G110	G229	4.28962
G129	G106	4.2865
G129	G1618	4.28385
G16	G419	4.27982
G180	G582	4.27574
G80	G958	4.27466
G136	G399	4.2735
G39	G757	4.27281
G90	G16	4.26793
G8	G937	4.26589
G141	G1506	4.26477
G187	G213	4.25963
G51	G607	4.25692
G95	G1444	4.2562
G178	G1621	4.25474
G58	G366	4.24609
G80	G660	4.24464
G80	G1101	4.24217
G51	G992	4.23981
G167	G1427	4.2383
G141	G1492	4.23482
G84	G760	4.23314
G34	G545	4.22952
G121	G498	4.22838
G97	G113	4.2283
G156	G1250	4.22077
G176	G782	4.22044
G141	G1327	4.21048
G48	G1088	4.21046
G116	G6	4.20745
G129	G863	4.20725
G162	G1089	4.20606
G131	G121	4.2053
G116	G1594	4.20375
G194	G430	4.1974
G43	G1331	4.19252
G178	G1211	4.19163
G97	G880	4.19119
G157	G820	4.18838
G117	G1093	4.1869
G182	G309	4.18682
G136	G1479	4.1859
G39	G656	4.1826
G129	G1551	4.18155
G73	G533	4.18017
G6	G221	4.1783
G10	G84	4.17764
G188	G1448	4.1717
G108	G682	4.16599
G110	G421	4.1648
G188	G915	4.16236
G11	G280	4.16013
G84	G1559	4.15821
G116	G606	4.15533
G116	G1426	4.1533
G97	G529	4.15039
G171	G357	4.15024
G74	G170	4.15021
G193	G1311	4.149
G169	G1240	4.1482
G127	G466	4.14155
G110	G141	4.13702
G36	G1613	4.13616
G126	G686	4.13328
G137	G958	4.13092
G139	G1117	4.12882
G84	G1326	4.12866
G188	G1089	4.12842
G131	G515	4.12726
G19	G480	4.11992
G80	G472	4.11598
G134	G451	4.11415
G178	G566	4.11292
G84	G1051	4.11292
G120	G487	4.10632
G194	G1242	4.09991
G121	G34	4.09974
G153	G553	4.09349
G93	G917	4.09345
G121	G42	4.08221
G59	G1022	4.07314
G73	G93	4.07164
G39	G987	4.06495
G36	G648	4.06444
G38	G609	4.06313
G176	G418	4.0622
G134	G1542	4.05794
G181	G1625	4.05662
G66	G134	4.04773
G23	G1504	4.04576
G16	G550	4.04556
G30	G624	4.04203
G95	G470	4.04152
G171	G735	4.04015
G39	G1464	4.0385
G121	G1417	4.03712
G113	G1093	4.03548
G98	G308	4.03485
G157	G1403	4.03472
G108	G421	4.02852
G55	G187	4.02209
G160	G1505	4.01931
G120	G1422	4.01889
G120	G1186	4.01821
G6	G1271	4.01593
G100	G589	4.01561
G171	G1058	4.01511
G165	G37	4.01441
G65	G1098	4.01283
G137	G674	4.01206
G171	G1630	4.0089
G38	G198	4.00537
G5	G1633	4.00526
G137	G387	4.00383
G84	G418	4.00366
G37	G165	4.00181
G108	G1313	4.00003
G92	G619	3.99316
G36	G897	3.99037
G137	G1093	3.98887
G48	G716	3.98641
G115	G1152	3.98467
G173	G776	3.98405
G34	G881	3.98333
G164	G1549	3.98266
G24	G1437	3.97767
G120	G1552	3.9751
G80	G1225	3.97185
G6	G116	3.96841
G144	G942	3.96339
G163	G64	3.95948
G188	G1119	3.95917
G46	G67	3.95702
G32	G424	3.95584
G13	G584	3.95296
G27	G731	3.95263
G130	G184	3.95181
G145	G614	3.95179
G100	G1594	3.94659
G129	G454	3.94475
G193	G88	3.94458
G137	G930	3.94159
G143	G326	3.93984
G24	G484	3.93352
G182	G1210	3.93316
G84	G875	3.93284
G69	G1480	3.93251
G137	G113	3.93065
G120	G612	3.93019
G10	G129	3.9279
G34	G1246	3.92766
G4	G1097	3.92713
G37	G170	3.92535
G171	G916	3.92524
G59	G1157	3.92444
G43	G568	3.92384
G156	G651	3.92164
G165	G1483	3.91854
G62	G7	3.91824
G84	G1401	3.91558
G129	G188	3.91223
G115	G709	3.91122
G191	G246	3.91062
G15	G242	3.90858
G84	G268	3.90681
G178	G766	3.90409
G55	G500	3.90374
G88	G603	3.90272
G38	G1568	3.89993
G32	G857	3.8983
G106	G1304	3.89694
G55	G126	3.89637
G95	G750	3.89553
G74	G60	3.89392
G135	G108	3.89183
G171	G1000	3.89014
G188	G1442	3.88808
G48	G253	3.8875
G115	G1027	3.87842
G134	G773	3.87737
G192	G1221	3.87677
G121	G1029	3.87371
G176	G1235	3.86998
G187	G1036	3.86782
G156	G372	3.86737
G27	G1070	3.86717
G72	G925	3.86662
G84	G1497	3.86409
G38	G160	3.86383
G35	G502	3.86187
G92	G528	3.86151
G91	G325	3.85967
G116	G517	3.85668
G175	G1384	3.85581
G39	G643	3.85326
G72	G811	3.85308
G108	G229	3.85201
G171	G1433	3.85108
G85	G869	3.84866
G34	G875	3.84767
G105	G393	3.84747
G194	G1138	3.84485
G182	G745	3.84409
G161	G807	3.84301
G156	G252	3.84086
G178	G527	3.84005
G150	G935	3.83685
G180	G8	3.83279
G193	G1608	3.83043
G102	G1134	3.82999
G38	G787	3.82901
G134	G726	3.82708
G121	G106	3.82669
G165	G1067	3.82505
G19	G1472	3.82254
G157	G61	3.82081
G136	G933	3.82051
G84	G372	3.81978
G48	G1120	3.81835
G65	G1046	3.81757
G101	G1080	3.81587
G4	G1323	3.81364
G187	G1578	3.81181
G120	G313	3.81112
G93	G9	3.81107
G136	G1459	3.81013
G120	G547	3.80865
G136	G1497	3.80862
G155	G352	3.80764
G13	G655	3.80444
G8	G974	3.80438
G181	G728	3.80272
G120	G660	3.80243
G122	G1288	3.8014
G162	G122	3.79534
G115	G708	3.79245
G49	G282	3.79227
G2	G1415	3.79195
G44	G1223	3.79182
G14	G596	3.79082
G72	G248	3.78968
G35	G932	3.78346
G99	G1369	3.78318
G92	G1039	3.78268
G141	G755	3.78082
G97	G1507	3.78063
G171	G1049	3.77612
G183	G450	3.77407
G188	G1373	3.77314
G134	G1089	3.77285
G171	G908	3.76894
G84	G1009	3.76833
G65	G619	3.76719
G190	G86	3.76548
G44	G146	3.7634
G133	G1350	3.75991
G97	G1567	3.75541
G84	G1376	3.75445
G129	G391	3.75412
G136	G752	3.75303
G182	G38	3.75024
G84	G284	3.74995
G141	G1536	3.74982
G194	G231	3.74838
G10	G1417	3.74706
G115	G1410	3.74586
G35	G267	3.74533
G139	G261	3.74475
G39	G1591	3.74353
G39	G980	3.74343
G134	G339	3.74341
G120	G1139	3.74304
G104	G1315	3.74232
G109	G946	3.7413
G72	G216	3.74044
G119	G1079	3.7387
G188	G1258	3.7378
G176	G1428	3.73657
G188	G1261	3.73634
G129	G1572	3.73533
G137	G945	3.73466
G124	G1064	3.73433
G34	G1497	3.73239
G42	G1115	3.73078
G13	G1081	3.72999
G139	G372	3.72523
G106	G222	3.72502
G95	G1610	3.72382
G88	G660	3.72334
G131	G10	3.72051
G84	G979	3.71977
G106	G586	3.71611
G95	G1096	3.71517
G121	G1543	3.71511
G189	G1225	3.71462
G70	G238	3.71116
G134	G1448	3.70977
G178	G135	3.7094
G92	G1046	3.7093
G84	G561	3.70809
G12	G78	3.70695
G136	G726	3.70522
G134	G401	3.70406
G39	G1237	3.69779
G39	G345	3.69412
G139	G1616	3.69376
G13	G1181	3.69249
G189	G852	3.69239
G144	G744	3.69218
G115	G997	3.69093
G126	G949	3.69029
G27	G256	3.68974
G131	G863	3.68815
G141	G620	3.68759
G84	G1354	3.68518
G51	G335	3.68456
G187	G1358	3.6843
G178	G218	3.68339
G160	G394	3.68296
G121	G973	3.68031
G84	G1245	3.67895
G46	G89	3.67844
G171	G409	3.67658
G156	G555	3.67603
G64	G163	3.67451
G84	G473	3.67416
G84	G1160	3.67234
G3	G510	3.67105
G126	G1389	3.6703
G38	G1053	3.66881
G144	G36	3.66827
G136	G1267	3.66734
G175	G1003	3.66713
G72	G358	3.66601
G106	G121	3.66552
G66	G1542	3.66466
G53	G1069	3.66281
G2	G1278	3.66085
G78	G586	3.65837
G180	G937	3.65641
G172	G154	3.65626
G56	G12	3.65433
G132	G1083	3.65367
G84	G540	3.65325
G38	G788	3.65051
G178	G959	3.646
G39	G1111	3.64587
G156	G1540	3.63741
G110	G178	3.63683
G110	G277	3.63635
G120	G1591	3.63607
G187	G791	3.63565
G176	G1626	3.63387
G139	G594	3.63236
G116	G221	3.631
G92	G361	3.63085
G158	G44	3.6282
G189	G880	3.62743
G139	G524	3.62224
G48	G1099	3.6222
G13	G1569	3.62144
G156	G506	3.62048
G68	G1627	3.62002
G48	G1241	3.61946
G153	G555	3.61883
G156	G427	3.61809
G84	G1558	3.61071
G171	G219	3.61021
G108	G1632	3.60869
G141	G1288	3.60495
G83	G1627	3.6035
G48	G1319	3.60148
G110	G1632	3.60024
G189	G660	3.59958
G65	G1213	3.5987
G171	G900	3.59849
G74	G364	3.59743
G52	G479	3.59537
G39	G1556	3.58962
G88	G571	3.58637
G194	G1033	3.58587
G37	G876	3.58518
G38	G330	3.58461
G137	G601	3.58313
G17	G907	3.58135
G34	G121	3.58099
G129	G121	3.58062
G84	G771	3.5801
G72	G707	3.57611
G134	G1508	3.57587
G80	G880	3.57416
G178	G918	3.5719
G135	G309	3.57038
G194	G970	3.56727
G143	G90	3.56713
G187	G922	3.56707
G120	G232	3.56565
G48	G659	3.55963
G120	G921	3.55891
G182	G1365	3.54802
G48	G1553	3.54712
G136	G1563	3.54698
G92	G78	3.54474
G44	G519	3.54435
G136	G426	3.54201
G108	G218	3.54198
G113	G1147	3.54152
G6	G517	3.53845
G66	G136	3.5347
G139	G782	3.53357
G10	G541	3.53163
G188	G431	3.53148
G115	G349	3.53137
G184	G944	3.53104
G181	G918	3.52833
G176	G1055	3.52721
G84	G1316	3.52688
G174	G63	3.52672
G6	G673	3.52657
G84	G367	3.52622
G38	G1409	3.52614
G22	G253	3.52395
G120	G1443	3.52206
G8	G591	3.51891
G19	G1259	3.51614
G136	G1258	3.51442
G110	G1388	3.5101
G110	G654	3.50813
G129	G1245	3.50779
G176	G1558	3.50532
G72	G1196	3.50488
G134	G188	3.50457
G117	G824	3.50354
G110	G866	3.50232
G108	G1280	3.5
G72	G1578	3.49857
G27	G1190	3.4975
G122	G1494	3.49611
G134	G933	3.49538
G119	G1152	3.49484
G136	G941	3.49292
G105	G127	3.49281
G97	G601	3.49117
G85	G1609	3.48925
G136	G906	3.48792
G83	G1454	3.48767
G195	G1520	3.48721
G43	G1003	3.48486
