TF	Target	Score
G14	G1817	4.54775
G86	G416	4.53263
G41	G2533	4.53125
G14	G669	4.52709
G78	G2493	4.52627
G43	G1869	4.5257
G86	G1210	4.52194
G86	G1807	4.50864
G99	G768	4.50715
G3	G1643	4.50389
G52	G513	4.50299
G52	G1450	4.50167
G10	G1343	4.5006
G54	G1402	4.49027
G97	G2388	4.48959
G86	G1024	4.48795
G57	G2732	4.48484
G97	G2758	4.48392
G34	G485	4.48326
G57	G1592	4.47987
G67	G1043	4.47844
G2	G1411	4.47771
G58	G1817	4.47548
G34	G2398	4.47435
G77	G1563	4.47154
G52	G2436	4.47099
G46	G1369	4.47089
G99	G2113	4.4647
G86	G554	4.46242
G85	G1093	4.46242
G99	G1709	4.46145
G60	G2614	4.45936
G97	G671	4.45906
G99	G818	4.45576
G36	G144	4.45495
G78	G822	4.45411
G12	G2581	4.4526
G34	G2609	4.45114
G8	G177	4.44996
G2	G1845	4.44801
G63	G1295	4.44498
G17	G822	4.44117
G97	G592	4.44044
G60	G2330	4.43995
G12	G2426	4.43004
G14	G2779	4.42862
G86	G975	4.4234
G58	G735	4.42207
G46	G2286	4.41468
G57	G663	4.41371
G41	G231	4.41053
G95	G139	4.41019
G61	G2788	4.40703
G7	G1210	4.40237
G14	G2713	4.3989
G2	G980	4.39819
G46	G1577	4.39483
G41	G209	4.39168
G60	G1011	4.38759
G77	G1309	4.38667
G21	G1886	4.38568
G71	G136	4.37833
G55	G2547	4.37668
G99	G530	4.37332
G97	G299	4.36168
G99	G1987	4.36131
G44	G584	4.35576
G10	G1769	4.34727
G16	G733	4.34635
G60	G974	4.34407
G77	G173	4.33973
G29	G1367	4.33716
G67	G579	4.33703
G74	G2086	4.33628
G2	G2080	4.33245
G97	G423	4.33197
G17	G1749	4.33121
G8	G1723	4.32735
G2	G1330	4.32622
G67	G1069	4.32618
G60	G2270	4.32421
G91	G199	4.32376
G7	G772	4.32177
G92	G1203	4.32116
G55	G1174	4.32109
G60	G687	4.31759
G69	G163	4.31754
G34	G2759	4.31666
G3	G567	4.31655
G52	G1900	4.31631
G98	G347	4.31526
G97	G2715	4.3127
G7	G989	4.31135
G67	G1834	4.30944
G2	G624	4.30613
G67	G2178	4.30424
G55	G204	4.2964
G47	G2681	4.29463
G44	G2729	4.2942
G14	G1412	4.29133
G28	G458	4.28742
G43	G1074	4.28552
G86	G302	4.2853
G57	G758	4.28063
G74	G671	4.27935
G36	G1983	4.27909
G2	G1609	4.27764
G58	G1277	4.27693
G23	G1930	4.27559
G7	G95	4.27323
G74	G1183	4.27214
G85	G41	4.27024
G57	G2054	4.26848
G10	G762	4.26625
G2	G2390	4.26567
G78	G421	4.26509
G33	G2407	4.26449
G47	G1999	4.2633
G86	G1180	4.2625
G2	G1116	4.26064
G34	G1866	4.25787
G54	G1916	4.25477
G65	G1004	4.2529
G67	G110	4.25167
G60	G2700	4.24981
G86	G793	4.2454
G79	G1413	4.24224
G46	G2570	4.24085
G46	G2094	4.23902
G21	G458	4.23733
G86	G1139	4.23713
G60	G1930	4.23685
G71	G1734	4.23595
G41	G1868	4.23479
G82	G364	4.23367
G97	G1453	4.23275
G34	G2160	4.23211
G77	G2135	4.23042
G6	G444	4.23017
G14	G832	4.22798
G84	G1034	4.22705
G26	G791	4.21859
G46	G1259	4.21445
G52	G1222	4.21424
G96	G116	4.21244
G60	G458	4.21021
G97	G1509	4.20613
G98	G1416	4.20543
G79	G1711	4.20517
G47	G1381	4.20199
G74	G864	4.20165
G6	G2246	4.19974
G38	G2171	4.19956
G21	G1180	4.19943
G91	G2280	4.19871
G85	G1231	4.19803
G41	G1429	4.19607
G78	G1978	4.1955
G2	G1809	4.19441
G30	G2505	4.18862
G86	G1540	4.18852
G44	G2093	4.18634
G46	G690	4.18109
G50	G872	4.17616
G98	G68	4.17565
G86	G833	4.17543
G2	G947	4.17464
G44	G1797	4.17057
G87	G405	4.16927
G91	G22	4.16577
G57	G2068	4.16479
G99	G1547	4.16003
G34	G1371	4.1588
G33	G2695	4.15592
G77	G2072	4.15539
G87	G2093	4.14932
G10	G2047	4.14489
G85	G2190	4.14128
G10	G334	4.14065
G89	G892	4.13884
G77	G2406	4.13789
G55	G1944	4.13787
G95	G293	4.13678
G48	G1911	4.13659
G33	G2294	4.1358
G58	G142	4.13516
G7	G2047	4.13496
G50	G414	4.13319
G60	G768	4.12813
G60	G2755	4.12496
G50	G1492	4.12446
G9	G962	4.12395
G86	G1721	4.12191
G47	G414	4.12187
G18	G486	4.12176
G86	G598	4.12049
G4	G323	4.11947
G4	G742	4.11926
G2	G2119	4.1191
G69	G1955	4.11843
G57	G1564	4.11839
G34	G841	4.11837
G82	G1809	4.1182
G86	G539	4.11668
G78	G382	4.11646
G69	G2766	4.11426
G34	G629	4.11211
G97	G1180	4.11166
G82	G1617	4.11114
G47	G2024	4.10832
G7	G2581	4.10759
G10	G1330	4.10671
G70	G2464	4.10654
G7	G2120	4.1031
G43	G2097	4.10291
G55	G1866	4.09638
G21	G1456	4.09591
G2	G2588	4.0957
G74	G1554	4.09469
G46	G2283	4.09467
G55	G1634	4.0891
G86	G2328	4.08832
G95	G1962	4.08688
G81	G1139	4.08568
G10	G936	4.08285
G83	G2800	4.08275
G74	G2175	4.07798
G10	G2737	4.07798
G10	G1496	4.07551
G8	G2435	4.07504
G64	G489	4.07389
G46	G2379	4.07294
G85	G1948	4.07253
G97	G741	4.06514
G55	G1745	4.06409
G67	G1602	4.05988
G14	G956	4.05958
G34	G459	4.05888
G15	G2343	4.05822
G91	G1112	4.05776
G2	G694	4.05521
G71	G1583	4.0508
G52	G662	4.0471
G63	G866	4.04524
G46	G556	4.04501
G97	G1302	4.04316
G55	G627	4.04251
G74	G1776	4.03951
G67	G228	4.03939
G70	G1429	4.03639
G14	G241	4.03606
G6	G1209	4.03591
G57	G2208	4.03432
G14	G1398	4.03183
G86	G2014	4.03038
G8	G1035	4.03015
G7	G2188	4.02816
G27	G1544	4.02719
G46	G1335	4.0254
G33	G1647	4.02512
G57	G1172	4.02473
G7	G707	4.0198
G34	G1208	4.01921
G16	G495	4.01767
G97	G2769	4.01693
G87	G1767	4.0158
G46	G823	4.01426
G34	G1467	4.01375
G9	G2226	4.0136
G23	G1362	4.01342
G47	G1712	4.01303
G33	G191	4.00869
G50	G2595	4.00721
G95	G1659	4.00547
G5	G923	4.00334
G10	G997	4.00094
G50	G1474	4.00087
G79	G386	3.99856
G86	G1191	3.99837
G46	G387	3.99807
G58	G87	3.99498
G65	G364	3.99448
G97	G1270	3.99427
G15	G2452	3.99417
G77	G1076	3.994
G97	G329	3.99175
G67	G535	3.99115
G86	G2125	3.9897
G6	G1072	3.98932
G16	G445	3.98669
G6	G537	3.98546
G14	G1551	3.98445
G2	G2112	3.98436
G88	G315	3.98091
G14	G306	3.98003
G15	G2006	3.97703
G74	G2601	3.97588
G77	G1413	3.9758
G86	G765	3.97578
G86	G1358	3.97564
G52	G561	3.97221
G20	G2506	3.9697
G2	G403	3.96751
G14	G2170	3.96723
G44	G813	3.96722
G97	G2412	3.96472
G98	G1561	3.96294
G10	G1646	3.95863
G65	G2563	3.95563
G82	G1963	3.95527
G46	G2312	3.95524
G86	G233	3.95409
G95	G1472	3.95392
G97	G153	3.95289
G54	G2441	3.95182
G50	G1865	3.95067
G7	G2390	3.94931
G50	G537	3.94791
G73	G1284	3.94758
G80	G411	3.9475
G9	G991	3.94577
G99	G981	3.94546
G46	G2784	3.9453
G99	G2685	3.94387
G33	G362	3.94321
G98	G1359	3.94295
G52	G450	3.9425
G67	G1493	3.94232
G21	G545	3.93985
G82	G1679	3.93973
G8	G1495	3.93904
G46	G1117	3.93831
G65	G2546	3.93782
G38	G879	3.93674
G23	G192	3.93657
G78	G362	3.93484
G30	G2406	3.93388
G57	G689	3.93043
G56	G318	3.92913
G50	G2183	3.92659
G6	G1672	3.92648
G41	G1083	3.92585
G91	G132	3.91789
G79	G1650	3.91717
G34	G2419	3.9169
G54	G2525	3.91633
G61	G547	3.91519
G27	G1379	3.91227
G10	G2364	3.9099
G7	G1540	3.90936
G92	G206	3.90893
G19	G606	3.9072
G2	G274	3.90705
G56	G1249	3.90582
G34	G1192	3.90215
G7	G344	3.90188
G29	G52	3.90144
G6	G1492	3.90132
G35	G1987	3.89788
G86	G2581	3.89746
G4	G2393	3.89022
G36	G2218	3.88334
G67	G2481	3.88313
G97	G2142	3.88299
G7	G332	3.88129
G99	G1855	3.88094
G14	G203	3.88075
G2	G2547	3.8798
G20	G82	3.87929
G50	G2509	3.87902
G34	G1186	3.87747
G46	G504	3.87712
G74	G1787	3.87649
G10	G332	3.87511
G57	G1008	3.8742
G17	G598	3.87397
G97	G2132	3.87263
G55	G478	3.87121
G43	G1820	3.87081
G33	G1579	3.87011
G56	G2323	3.86934
G66	G2387	3.86923
G93	G1043	3.8681
G3	G662	3.86714
G57	G655	3.86567
G54	G1591	3.86468
G97	G1854	3.86368
G57	G1499	3.86288
G34	G453	3.85932
G10	G900	3.85793
G34	G2389	3.85539
G46	G2548	3.85414
G9	G1520	3.85331
G65	G1841	3.85176
G43	G999	3.85166
G97	G2199	3.8493
G47	G572	3.84602
G50	G296	3.84589
G86	G1120	3.84518
G64	G1137	3.84491
G28	G1759	3.84425
G6	G1809	3.84406
G2	G541	3.84305
G4	G1304	3.84239
G12	G499	3.84019
G10	G1779	3.83869
G14	G372	3.83783
G36	G2464	3.83621
G57	G475	3.83544
G27	G660	3.83462
G77	G525	3.83305
G65	G697	3.83294
G60	G2579	3.83161
G43	G1435	3.82831
G7	G1845	3.82739
G90	G1738	3.8272
G17	G1922	3.82615
G6	G663	3.82174
G47	G957	3.82132
G48	G2139	3.81811
G85	G2101	3.81686
G57	G1136	3.81516
G97	G2007	3.81471
G36	G2471	3.8138
G10	G1293	3.80774
G34	G291	3.80688
G43	G1350	3.80557
G55	G1350	3.80529
G2	G1246	3.80482
G80	G871	3.80243
G34	G1672	3.80235
G52	G608	3.80065
G30	G2674	3.80059
G6	G2570	3.79886
G41	G811	3.79852
G30	G1554	3.79688
G50	G795	3.79681
G57	G1758	3.79554
G17	G2524	3.79507
G65	G27	3.79417
G33	G1562	3.79416
G95	G1652	3.79387
G97	G1107	3.7937
G2	G86	3.79179
G14	G1913	3.78911
G83	G897	3.78865
G60	G1964	3.78853
G56	G1049	3.78848
G56	G1389	3.78775
G46	G1466	3.78755
G55	G673	3.78683
G55	G885	3.78544
G44	G1269	3.78336
G79	G2373	3.78261
G82	G1004	3.78217
G71	G955	3.78158
G60	G525	3.78136
G86	G1990	3.78043
G98	G1466	3.7782
G4	G1723	3.77787
G77	G1636	3.77622
G95	G2709	3.77497
G98	G1229	3.77409
G90	G2141	3.77296
G14	G1803	3.77265
G55	G1897	3.77206
G55	G763	3.77096
G7	G1411	3.77069
G2	G950	3.77053
G99	G2267	3.76804
G97	G1824	3.76716
G50	G2132	3.76463
G67	G1137	3.76283
G30	G1026	3.76103
G89	G838	3.75912
G97	G1237	3.7584
G7	G1513	3.75709
G42	G463	3.75105
G46	G1171	3.75073
G68	G1229	3.7501
G50	G716	3.74811
G69	G2598	3.74772
G28	G377	3.74666
G41	G279	3.74265
G61	G1005	3.73965
G55	G1660	3.73917
G90	G2490	3.73886
G44	G2322	3.73879
G41	G1971	3.73746
G95	G191	3.73593
G2	G2184	3.73564
G14	G540	3.73559
G83	G894	3.73502
G69	G867	3.73415
G61	G192	3.73288
G70	G1724	3.73275
G91	G1180	3.73241
G14	G2648	3.73115
G22	G760	3.73042
G95	G1232	3.72996
G83	G511	3.72908
G77	G1249	3.72481
G50	G681	3.72423
G97	G2718	3.72261
G87	G162	3.72166
G50	G572	3.7183
G91	G2343	3.71778
G11	G1955	3.71624
G63	G656	3.71397
G36	G1100	3.71203
G86	G60	3.71038
G46	G1830	3.70955
G69	G2140	3.70912
G50	G937	3.70699
G73	G590	3.7061
G54	G1874	3.70494
G55	G2412	3.70442
G67	G2060	3.70407
G52	G1271	3.70389
G63	G2307	3.70338
G55	G2102	3.70291
G12	G2475	3.70138
G99	G1999	3.70123
G85	G1811	3.70099
G86	G1169	3.70099
G6	G1028	3.69967
G8	G871	3.6972
G14	G1949	3.69712
G47	G1684	3.69592
G29	G2444	3.69553
G12	G1713	3.69462
G46	G2659	3.69373
G56	G750	3.69347
G34	G1434	3.692
G4	G130	3.68857
G65	G818	3.68752
G69	G293	3.68676
G60	G717	3.68596
G44	G1930	3.68589
G43	G365	3.68404
G99	G2793	3.68145
G33	G1962	3.68136
G57	G2017	3.68079
G7	G845	3.68013
G17	G1180	3.67943
G8	G531	3.67823
G56	G1344	3.67754
G56	G671	3.67731
G10	G514	3.6759
G46	G2391	3.67528
G56	G170	3.67372
G85	G2136	3.67343
G82	G2793	3.67253
G55	G2513	3.67163
G7	G84	3.67128
G28	G930	3.67118
G86	G2614	3.66967
G54	G2118	3.66948
G47	G2271	3.66818
G86	G1599	3.66785
G57	G1927	3.66722
G50	G2158	3.66636
G23	G1540	3.66597
G40	G1903	3.66523
G92	G2200	3.6641
G3	G318	3.6627
G87	G612	3.66182
G61	G801	3.66144
G82	G580	3.66141
G15	G1169	3.66089
G57	G2789	3.65944
G19	G452	3.65791
G68	G946	3.65772
G46	G1122	3.65435
G17	G2005	3.65426
G41	G1045	3.65261
G58	G1980	3.65219
G16	G1163	3.64956
G68	G651	3.64944
G3	G1992	3.64811
G5	G1272	3.64566
G2	G1883	3.64369
G54	G158	3.6434
G33	G1009	3.6423
G98	G1574	3.64228
G60	G188	3.64123
G86	G2737	3.6407
G82	G924	3.64052
G33	G1197	3.64025
G86	G929	3.6398
G16	G1959	3.6391
G6	G1449	3.63787
G77	G2393	3.63785
G56	G6	3.63755
G5	G2546	3.63724
G16	G1384	3.63699
G6	G367	3.63693
G30	G605	3.63603
G81	G1381	3.63507
G36	G1008	3.63463
G36	G2142	3.63246
G46	G2370	3.63143
G86	G638	3.63134
G32	G1516	3.63111
G52	G1321	3.62984
G90	G1922	3.62778
G14	G596	3.62225
G44	G192	3.62073
G17	G1021	3.62025
G14	G2613	3.61636
G6	G371	3.61556
G46	G1514	3.61544
G61	G1773	3.61475
G2	G451	3.61281
G91	G2449	3.61058
G14	G2341	3.61012
G30	G1784	3.60942
G86	G517	3.60904
G54	G1053	3.60884
G19	G2723	3.60677
G36	G184	3.60522
G83	G1641	3.60404
G56	G374	3.60394
G82	G1999	3.60369
G74	G1943	3.60322
G47	G364	3.60106
G77	G1603	3.60061
G10	G2587	3.60041
G26	G343	3.59918
G20	G2681	3.59876
G67	G1314	3.59858
G2	G762	3.59828
G46	G1458	3.59807
G83	G2507	3.59737
G2	G1149	3.59631
G2	G552	3.5958
G96	G2774	3.59426
G10	G1721	3.59344
G92	G144	3.59318
G16	G2118	3.59247
G65	G2080	3.58946
G14	G465	3.58898
G7	G777	3.58845
G14	G150	3.58754
G3	G2179	3.58734
G50	G523	3.58652
G60	G1937	3.58568
G96	G666	3.58551
G57	G2321	3.58501
G91	G1057	3.58473
G2	G1200	3.58354
G34	G1535	3.58088
G87	G1320	3.58046
G95	G2407	3.58011
G33	G2721	3.58
G55	G556	3.57953
G86	G2047	3.57888
G96	G2083	3.5779
G6	G1194	3.57234
G77	G1034	3.57222
G17	G1097	3.57221
G97	G1136	3.56933
G23	G591	3.56877
G50	G2308	3.56848
G7	G2486	3.56721
G41	G2292	3.56583
G86	G344	3.56532
G95	G2741	3.56413
G82	G600	3.56305
G93	G304	3.56256
G7	G1609	3.55959
G98	G2089	3.55856
G26	G1642	3.55806
G3	G874	3.55688
G55	G2459	3.55475
G46	G2661	3.55431
G74	G571	3.55395
G2	G1935	3.55307
G12	G218	3.55223
G91	G954	3.55133
G71	G2751	3.55077
G74	G2351	3.55046
G10	G257	3.55046
G41	G2209	3.55043
G10	G1358	3.54965
G47	G696	3.54943
G89	G2327	3.54821
G10	G1210	3.54811
G86	G1443	3.54807
G30	G201	3.54773
G47	G2798	3.54536
G85	G2314	3.5453
G97	G2465	3.54432
G97	G1206	3.54381
G37	G73	3.54192
G67	G2572	3.53999
G46	G463	3.53994
G10	G1180	3.5395
G82	G48	3.53876
G34	G1503	3.5386
G47	G537	3.53744
G4	G1384	3.53744
G14	G1930	3.53689
G64	G1600	3.53655
G4	G534	3.53601
G97	G1259	3.53519
G67	G1071	3.53477
G91	G2465	3.53289
G30	G1958	3.53244
G9	G1301	3.53188
G61	G2342	3.53134
G2	G1248	3.53082
G55	G1380	3.52949
G87	G252	3.52889
G23	G1219	3.52855
G74	G2559	3.52836
G2	G125	3.52787
G55	G1906	3.52768
G87	G2421	3.52757
G36	G1683	3.5272
G33	G225	3.52708
G69	G1626	3.52604
G7	G708	3.52579
G79	G1421	3.52357
G2	G1902	3.52331
G56	G2106	3.52243
G74	G1200	3.52216
G46	G1787	3.52143
G20	G65	3.52142
G29	G798	3.52046
G34	G2099	3.51931
G46	G876	3.51864
G50	G927	3.51756
G57	G935	3.51673
G82	G2345	3.51662
G36	G647	3.51594
G87	G1478	3.51556
G55	G1128	3.51465
G50	G2269	3.51382
G41	G613	3.5125
G86	G1678	3.5106
G97	G2215	3.51057
G14	G1768	3.51042
G29	G1555	3.50874
G68	G2396	3.50866
G83	G2311	3.50658
G2	G1652	3.50554
G81	G154	3.50467
G95	G1740	3.50235
G23	G2745	3.50015
G12	G1116	3.49794
G95	G1459	3.49791
G97	G2711	3.49743
G35	G1158	3.49644
G21	G2019	3.49632
G56	G544	3.49629
G55	G1589	3.49493
G74	G1961	3.49306
G85	G342	3.4926
G79	G2573	3.49223
G50	G1172	3.4912
G55	G2086	3.49034
G74	G2665	3.4874
G55	G1084	3.48684
G14	G2337	3.4863
G9	G72	3.48563
G55	G1649	3.48198
G29	G108	3.48192
G10	G975	3.48118
G60	G1139	3.48014
G27	G2500	3.47935
G46	G731	3.47911
G60	G1119	3.47859
G86	G2267	3.4781
G6	G2379	3.47516
G47	G2437	3.47495
G55	G1072	3.47487
G17	G932	3.47401
G67	G1818	3.4739
G3	G256	3.47286
G55	G927	3.47209
G97	G2210	3.47128
G36	G1002	3.47079
G2	G1088	3.46989
G2	G2014	3.46931
G14	G1728	3.46919
G28	G2685	3.46886
G50	G2253	3.46793
G47	G1078	3.46701
G56	G1276	3.46279
G61	G1432	3.46171
G46	G1058	3.46134
G17	G2405	3.45971
G78	G1130	3.45519
G77	G2705	3.4548
G57	G1028	3.45364
G44	G1900	3.45347
G43	G446	3.45192
G2	G2650	3.45167
G86	G2566	3.45111
G38	G2517	3.4502
G46	G1247	3.44848
G44	G1437	3.44838
G20	G737	3.44736
G98	G2558	3.44634
G33	G1565	3.44583
G77	G946	3.44533
G50	G1598	3.44524
G50	G1528	3.44476
G55	G681	3.44444
G86	G1531	3.44189
G14	G1539	3.44181
G21	G595	3.44068
G99	G2266	3.44041
G29	G2115	3.44002
G71	G1929	3.43985
G3	G2735	3.43672
G57	G2748	3.43654
G34	G1589	3.43616
G67	G832	3.43509
G36	G2144	3.4349
G95	G2785	3.43451
G47	G2199	3.43376
G69	G1439	3.43371
G14	G1061	3.43226
G10	G1525	3.43189
G4	G2630	3.43127
G23	G160	3.43116
G34	G1204	3.43005
G6	G2439	3.42971
G2	G2581	3.42821
G7	G1736	3.42746
G92	G2537	3.42739
G56	G811	3.42717
G82	G1923	3.42675
G56	G1848	3.4256
G57	G1725	3.42502
G95	G1013	3.42351
G86	G997	3.42341
G6	G137	3.42302
G30	G1184	3.42295
G65	G1709	3.42246
G82	G1352	3.42196
G82	G1291	3.41999
G57	G1123	3.41968
G47	G2439	3.4183
G56	G1131	3.41766
G92	G1495	3.41678
G91	G429	3.41666
G63	G1998	3.41563
G67	G161	3.41557
G29	G238	3.41434
G82	G305	3.41431
G52	G195	3.414
G46	G2800	3.41364
G30	G532	3.41266
G44	G2019	3.41226
G86	G103	3.41218
G67	G139	3.41036
G34	G872	3.40792
G44	G1266	3.40685
G49	G2171	3.40615
G98	G433	3.4057
G17	G1056	3.40565
G2	G905	3.40486
G33	G244	3.40471
G74	G362	3.40455
G46	G2358	3.4035
G46	G1725	3.40339
G98	G1017	3.40323
G22	G1180	3.4025
G61	G515	3.4014
G60	G1782	3.40136
G97	G1177	3.40046
G58	G2052	3.40038
G92	G2652	3.40002
G50	G655	3.39974
G91	G2073	3.3991
G97	G1414	3.3988
G44	G1047	3.39877
G8	G2453	3.39859
G28	G757	3.39833
G95	G894	3.39832
G82	G1290	3.39772
G33	G2310	3.39755
G43	G2543	3.39746
G7	G1293	3.39694
G55	G275	3.39581
G34	G1221	3.39534
G87	G1486	3.39517
G23	G2278	3.39489
G46	G119	3.39407
G65	G1552	3.39264
G44	G2166	3.39213
G82	G1451	3.39212
G60	G1946	3.39143
G99	G1004	3.39122
G73	G2619	3.39058
G4	G2616	3.39018
G2	G1936	3.39015
G2	G1120	3.3899
G60	G112	3.38959
G2	G1779	3.38948
G97	G881	3.38905
G67	G247	3.38819
